gebiet_id;gebiet_name;gebiet_typ;gemeinde_name;CSU_stimmen;CSU_anteil;FREIE WÄHLER/FWO_stimmen;FREIE WÄHLER/FWO_anteil;AfD_stimmen;AfD_anteil;GRÜNE_stimmen;GRÜNE_anteil;SPD_stimmen;SPD_anteil;ÖDP_stimmen;ÖDP_anteil;BP_stimmen;BP_anteil
097771650001;Briefwahlbezirk 1;briefwahlbezirk;Markt Ronsberg;6021;29,0;6467;31,1;3809;18,3;2240;10,8;797;3,8;197;0,9;125;0,6
097771290035;Rathaus - Öffentliche Sicherheit & Ordnung;briefwahlbezirk;Stadt Füssen;6877;41,5;2132;12,9;961;5,8;2315;14,0;1685;10,2;448;2,7;43;0,3
097771210026;0026 Gymnasium Buchloe, EG Zimmer 004;briefwahlbezirk;Stadt Buchloe;5755;31,6;2731;15,0;1790;9,8;3625;19,9;1797;9,9;238;1,3;143;0,8
09777149;09777149 - Gemeinde Lengenwang;gemeinde;Gemeinde Lengenwang;19632;39,2;12851;25,7;8176;16,3;3535;7,1;1643;3,3;679;1,4;554;1,1
097771290034;Rathaus - Bibliothek Studienbibliothek;briefwahlbezirk;Stadt Füssen;9589;45,9;3557;17,0;2568;12,3;2129;10,2;1306;6,3;442;2,1;106;0,5
097771210027;0027 Gymnasium Buchloe, EG Zimmer 013;briefwahlbezirk;Stadt Buchloe;6217;33,7;3212;17,4;1332;7,2;3327;18,0;1974;10,7;399;2,2;89;0,5
097771670402;Pfarrhof Apfeltrang;stimmbezirk;Gemeinde Ruderatshofen;4431;45,2;2436;24,9;1051;10,7;773;7,9;369;3,8;203;2,1;120;1,2
097771140011;Briefwahl Baisweil;briefwahlbezirk;Gemeinde Baisweil;9577;36,8;6840;26,3;3271;12,6;2311;8,9;1092;4,2;485;1,9;532;2,0
097771510036;Mittelschule, Klassenzimmer 027, EG;briefwahlbezirk;Stadt Marktoberdorf;6894;35,0;5410;27,4;1452;7,4;2522;12,8;1582;8,0;460;2,3;462;2,3
097771450004;0004 Bürgerhaus Kleinkitzighofen;stimmbezirk;Gemeinde Lamerdingen;3366;46,4;988;13,6;1424;19,6;792;10,9;317;4,4;0;0,0;53;0,7
097771290022;Rathaus - gr. Sitzungssaal A.102;briefwahlbezirk;Stadt Füssen;5548;48,8;805;7,1;611;5,4;1846;16,2;1547;13,6;292;2,6;59;0,5
097771540014;Obergünzburg - Stimmbezirk XIV;briefwahlbezirk;Markt Obergünzburg;5676;24,4;9064;38,9;2228;9,6;4053;17,4;643;2,8;381;1,6;137;0,6
097771590005;Steinach, Ösch;stimmbezirk;Gemeinde Pfronten;5905;36,1;2000;12,2;3138;19,2;2156;13,2;1104;6,7;323;2,0;66;0,4
097771630011;Briefwahl;briefwahlbezirk;Gemeinde Rieden am Forggensee;10266;44,3;4787;20,6;1145;4,9;3468;14,9;1410;6,1;348;1,5;178;0,8
097771510016;Schule Thalhofen, Aula;stimmbezirk;Stadt Marktoberdorf;3767;28,1;3462;25,8;2386;17,8;1738;13,0;806;6,0;431;3,2;182;1,4
09777125;09777125 - Gemeinde Eisenberg;gemeinde;Gemeinde Eisenberg;15221;45,7;6980;21,0;3552;10,7;3268;9,8;1408;4,2;499;1,5;113;0,3
097771110101;Grundschule Aitrang;stimmbezirk;Gemeinde Aitrang;4337;36,8;2330;19,8;1923;16,3;1565;13,3;480;4,1;284;2,4;36;0,3
097771280002;Blöcktach;stimmbezirk;Gemeinde Friesenried;2961;32,1;2182;23,7;1451;15,7;1311;14,2;627;6,8;194;2,1;89;1,0
097771290002;Anton-Sturm-Mittelschule Kl.Zi. 1;stimmbezirk;Stadt Füssen;3402;31,9;1211;11,4;1654;15,5;2070;19,4;1196;11,2;177;1,7;12;0,1
097771730001;Buching;stimmbezirk;Gemeinde Halblech;7197;44,2;3403;20,9;1806;11,1;2374;14,6;353;2,2;286;1,8;55;0,3
097771210011;0011 Meinrad-Spieß-Grundschule 2;stimmbezirk;Stadt Buchloe;4783;38,1;1556;12,4;2812;22,4;1403;11,2;1178;9,4;32;0,3;66;0,5
097771720001;Stimmbezirk 1 (Stöttwang, Gennachhausen, Reichenbach);stimmbezirk;Gemeinde Stöttwang;5948;45,4;1933;14,8;1907;14,6;1965;15,0;508;3,9;113;0,9;82;0,6
